experiment_id,seed,learning_rate,dp_clip,lora_r,lora_alpha,zo_eps,batch_size,max_steps,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-stage2-08-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps5000-seed0,0,0.0001,10.0,8,16,0.003,4,5000,dev_accuracy,0.758,5000,0.49535346031188965,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-08-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps5000-seed0
lora-dpzero-stage2-11-lr0.0001-clip10-r16-a32-mu0.003-bs4-steps5000-seed0,0,0.0001,10.0,16,32,0.003,4,5000,dev_accuracy,0.75,4000,0.4936838448047638,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-11-lr0.0001-clip10-r16-a32-mu0.003-bs4-steps5000-seed0
lora-dpzero-stage2-05-lr0.0001-clip10-r4-a8-mu0.003-bs4-steps5000-seed0,0,0.0001,10.0,4,8,0.003,4,5000,dev_accuracy,0.738,5000,0.5122385621070862,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-05-lr0.0001-clip10-r4-a8-mu0.003-bs4-steps5000-seed0
lora-dpzero-stage2-04-lr0.0001-clip10-r4-a8-mu0.001-bs4-steps5000-seed0,0,0.0001,10.0,4,8,0.001,4,5000,dev_accuracy,0.702,5000,0.5673355460166931,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-04-lr0.0001-clip10-r4-a8-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage2-07-lr0.0001-clip10-r8-a16-mu0.001-bs4-steps5000-seed0,0,0.0001,10.0,8,16,0.001,4,5000,dev_accuracy,0.698,4500,0.5528446435928345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-07-lr0.0001-clip10-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage2-02-lr0.0001-clip10-r2-a4-mu0.003-bs4-steps5000-seed0,0,0.0001,10.0,2,4,0.003,4,5000,dev_accuracy,0.69,5000,0.5945375561714172,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-02-lr0.0001-clip10-r2-a4-mu0.003-bs4-steps5000-seed0
lora-dpzero-stage2-10-lr0.0001-clip10-r16-a32-mu0.001-bs4-steps5000-seed0,0,0.0001,10.0,16,32,0.001,4,5000,dev_accuracy,0.69,3000,0.6040511727333069,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-10-lr0.0001-clip10-r16-a32-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage2-01-lr0.0001-clip10-r2-a4-mu0.001-bs4-steps5000-seed0,0,0.0001,10.0,2,4,0.001,4,5000,dev_accuracy,0.656,5000,0.6952494978904724,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-01-lr0.0001-clip10-r2-a4-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage2-06-lr0.0001-clip10-r8-a16-mu0.0003-bs4-steps5000-seed0,0,0.0001,10.0,8,16,0.0003,4,5000,dev_accuracy,0.656,5000,0.6634482145309448,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-06-lr0.0001-clip10-r8-a16-mu0.0003-bs4-steps5000-seed0
lora-dpzero-stage2-09-lr0.0001-clip10-r16-a32-mu0.0003-bs4-steps5000-seed0,0,0.0001,10.0,16,32,0.0003,4,5000,dev_accuracy,0.656,4500,0.6457913517951965,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-09-lr0.0001-clip10-r16-a32-mu0.0003-bs4-steps5000-seed0
lora-dpzero-stage2-00-lr0.0001-clip10-r2-a4-mu0.0003-bs4-steps5000-seed0,0,0.0001,10.0,2,4,0.0003,4,5000,dev_accuracy,0.652,4500,0.7413054704666138,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-00-lr0.0001-clip10-r2-a4-mu0.0003-bs4-steps5000-seed0
lora-dpzero-stage2-03-lr0.0001-clip10-r4-a8-mu0.0003-bs4-steps5000-seed0,0,0.0001,10.0,4,8,0.0003,4,5000,dev_accuracy,0.64,5000,0.7310672998428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage2/lora-dpzero-stage2-03-lr0.0001-clip10-r4-a8-mu0.0003-bs4-steps5000-seed0
